Threshold,Error-Rate,Strip,Haplotype,Matrix-Size,Time-Pre-Processing,Time-Post-Processing,Steps-Count,Unused-Cols,Final-Clusters,Orphan-Reads
0.02,0.05,4,4,(31, 27),0.0004658699035644531,9.441375732421875e-05,0,27,1,0
0.02,0.05,4,4,(31, 33),0.0004923343658447266,0.000133514404296875,1,29,1,0
0.02,0.05,4,4,(33, 30),0.0005061626434326172,0.0001251697540283203,0,30,1,0
0.02,0.05,4,4,(31, 28),0.0004513263702392578,9.083747863769531e-05,0,28,1,0
0.02,0.05,4,4,(31, 28),0.0003879070281982422,0.0001354217529296875,0,28,1,0
0.02,0.05,4,4,(26, 31),0.00041675567626953125,0.00012350082397460938,1,27,1,0
0.02,0.05,4,4,(33, 20),0.0006225109100341797,9.250640869140625e-05,0,20,1,0
0.02,0.05,4,4,(29, 24),0.0003681182861328125,8.7738037109375e-05,0,24,1,0
0.02,0.05,4,6,(37, 24),0.0004990100860595703,0.0001506805419921875,0,24,1,0
0.02,0.05,4,6,(49, 21),0.0007283687591552734,0.00017642974853515625,0,21,1,0
0.02,0.05,4,6,(44, 23),0.0007665157318115234,0.0001354217529296875,0,23,1,0
0.02,0.05,4,6,(49, 22),0.0004987716674804688,0.00011038780212402344,0,22,1,0
0.02,0.05,4,6,(41, 24),0.0003991127014160156,9.608268737792969e-05,0,24,1,0
0.02,0.05,4,6,(47, 26),0.0004036426544189453,0.00010013580322265625,0,26,1,0
0.02,0.05,4,6,(38, 26),0.0005724430084228516,9.822845458984375e-05,0,26,1,0
0.02,0.05,4,6,(45, 27),0.0006730556488037109,0.0001246929168701172,0,27,1,0
0.02,0.05,4,6,(47, 27),0.0004990100860595703,0.00010752677917480469,0,27,1,0
0.02,0.05,4,6,(51, 25),0.00044465065002441406,0.00010514259338378906,0,25,1,0
0.02,0.05,4,8,(59, 27),0.0004363059997558594,0.00011205673217773438,0,27,1,0
0.02,0.05,4,8,(58, 27),0.0003905296325683594,0.00010967254638671875,0,27,1,0
0.02,0.05,4,8,(68, 24),0.0003769397735595703,0.00011515617370605469,0,24,1,0
0.02,0.05,4,8,(62, 25),0.0006344318389892578,0.0001220703125,0,25,1,0
0.02,0.05,4,8,(57, 28),0.0006051063537597656,0.0001804828643798828,0,28,1,0
0.02,0.05,4,8,(65, 28),0.001010894775390625,0.00023245811462402344,0,28,1,0
0.02,0.05,4,8,(61, 27),0.0007257461547851562,0.0001385211944580078,0,27,1,0
0.02,0.05,4,8,(53, 24),0.0004496574401855469,0.00014543533325195312,0,24,1,0
0.02,0.05,4,8,(69, 28),0.0004963874816894531,0.0001251697540283203,0,28,1,0
0.02,0.05,4,8,(59, 32),0.0005574226379394531,0.00014638900756835938,0,32,1,0
0.02,0.05,5,4,(28, 29),0.0004303455352783203,0.00013184547424316406,1,24,1,0
0.02,0.05,5,4,(24, 32),0.0017020702362060547,0.0008323192596435547,3,20,4,0
0.02,0.05,5,4,(30, 30),0.0004546642303466797,0.00012826919555664062,1,25,1,0
0.02,0.05,5,4,(33, 39),0.0004513263702392578,9.465217590332031e-05,0,39,1,0
0.02,0.05,5,4,(30, 37),0.0004248619079589844,8.940696716308594e-05,0,37,1,0
0.02,0.05,5,4,(29, 36),0.00045871734619140625,0.00019884109497070312,1,31,1,0
0.02,0.05,5,4,(29, 32),0.0005357265472412109,9.632110595703125e-05,0,32,1,0
0.02,0.05,5,4,(30, 34),0.0007126331329345703,0.0002384185791015625,1,30,1,0
0.02,0.05,5,4,(31, 36),0.0009152889251708984,0.00017952919006347656,0,36,1,0
0.02,0.05,5,4,(28, 24),0.0007164478302001953,0.00010061264038085938,0,24,1,0
0.02,0.05,5,6,(49, 30),0.0005307197570800781,0.00010514259338378906,0,30,1,0
0.02,0.05,5,6,(39, 27),0.0004222393035888672,0.000133514404296875,0,27,1,0
0.02,0.05,5,6,(49, 32),0.0009098052978515625,0.0001900196075439453,0,32,1,0
0.02,0.05,5,6,(48, 34),0.0005097389221191406,0.0001347064971923828,0,34,1,0
0.02,0.05,5,6,(49, 31),0.00041675567626953125,0.00016379356384277344,0,31,1,0
0.02,0.05,5,6,(37, 34),0.0009377002716064453,0.0005116462707519531,1,30,2,0
0.02,0.05,5,6,(45, 33),0.0004127025604248047,9.894371032714844e-05,0,33,1,0
0.02,0.05,5,6,(47, 30),0.0008006095886230469,0.00011157989501953125,0,30,1,0
0.02,0.05,5,6,(34, 41),0.0005338191986083984,9.512901306152344e-05,0,41,1,0
0.02,0.05,5,6,(44, 30),0.0006108283996582031,0.00011014938354492188,0,30,1,0
0.02,0.05,5,8,(67, 38),0.0008976459503173828,0.00014781951904296875,0,38,1,0
0.02,0.05,5,8,(50, 31),0.0006539821624755859,0.0001347064971923828,0,31,1,0
0.02,0.05,5,8,(64, 33),0.0005614757537841797,0.00012540817260742188,0,33,1,0
0.02,0.05,5,8,(62, 25),0.0004372596740722656,0.00011348724365234375,0,25,1,0
0.02,0.05,5,8,(56, 40),0.0008857250213623047,0.00019288063049316406,0,40,1,0
0.02,0.05,5,8,(63, 34),0.0005478858947753906,0.00011992454528808594,0,34,1,0
0.02,0.05,5,8,(57, 34),0.0004992485046386719,0.00018787384033203125,0,34,1,0
0.02,0.05,5,8,(59, 37),0.0008208751678466797,0.0002582073211669922,0,37,1,0
0.02,0.05,5,8,(59, 29),0.00043582916259765625,0.00011539459228515625,0,29,1,0
0.02,0.05,5,8,(65, 32),0.00042629241943359375,0.00011515617370605469,0,32,1,0
